region,stage,nominal_tag,date_obs,channel_angstrom,exposure_s,n_pixels,mean_dn_s,median_dn_s,spatial_mad_dn_s,saturation_fraction_gt15000_dn
dimming,early,142000,2017-04-03T14:20:00.630000,335,2.900824,445,1.2153373480831233,1.2609997943918227,0.37741475368756455,0.0
dimming,late,144400,2017-04-03T14:43:59.120000,94,2.900843,445,0.9515156457884555,0.9689554468835746,0.2885108871794658,0.0
dimming,late,144400,2017-04-03T14:44:09.600000,131,0.718117,445,3.514488282393665,3.3720747779966427,1.1096974868056524,0.0
dimming,late,144400,2017-04-03T14:44:09.350000,171,2.000177,445,115.9399960005701,108.7880737893044,52.56827818533888,0.0
dimming,late,144400,2017-04-03T14:44:07.390000,193,0.14804,445,180.453335398927,177.5571674777999,22.428928919302173,0.0
dimming,late,144400,2017-04-03T14:43:57.620000,211,2.901163,445,58.01120693164785,56.96245971787399,6.304955152778771,0.0
dimming,late,144400,2017-04-03T14:44:00.620000,335,2.900762,445,1.2074005002658572,1.2648151459661854,0.34251729439279244,0.0
front_geometric,pre,140400,2017-04-03T14:03:59.120000,94,2.900843,3561,0.4317589134232093,0.42491082615920855,0.14241423978622764,0.0
front_geometric,pre,140400,2017-04-03T14:04:06.620000,131,2.90135,3561,2.141694670293078,2.0636421657956108,0.6069184939041344,0.0
front_geometric,pre,140400,2017-04-03T14:04:09.350000,171,2.00018,3561,102.34725877115108,100.40334690898163,20.84020256733852,0.0
front_geometric,pre,140400,2017-04-03T14:04:07.030000,193,0.410796,3561,68.07214088867475,66.61245721444527,15.590312983190135,0.0
front_geometric,pre,140400,2017-04-03T14:03:57.630000,211,2.900767,3561,12.633904011893113,12.361802436057241,2.8638952146617362,0.0
front_geometric,pre,140400,2017-04-03T14:04:00.620000,335,2.900829,3561,0.43775437302919584,0.4234195256727791,0.14673685737898348,0.0
front_geometric,early,142000,2017-04-03T14:19:59.120000,94,2.900842,3561,0.43921811304089187,0.4333507812607499,0.12556779630874632,0.0
front_geometric,early,142000,2017-04-03T14:20:06.630000,131,2.901345,3561,2.1417967552392367,2.0849859874043966,0.5750036183219015,0.0
front_geometric,early,142000,2017-04-03T14:20:09.340000,171,2.000181,3561,102.15457839308911,100.3946563238629,20.84321089917122,0.0
front_geometric,early,142000,2017-04-03T14:20:06.640000,193,0.689326,3561,67.07800511437163,65.99451341539222,14.513810017865099,0.0
front_geometric,early,142000,2017-04-03T14:19:57.630000,211,2.900771,3561,12.624424804969811,12.35366902162292,2.8843466408669847,0.0
front_geometric,early,142000,2017-04-03T14:20:00.630000,335,2.900824,3561,0.44372143884706794,0.4309120443018949,0.1304619344967818,0.0
front_geometric,late,144400,2017-04-03T14:43:59.120000,94,2.900843,3561,0.4472528902143286,0.43527955789902034,0.14181106334461616,0.0
front_geometric,late,144400,2017-04-03T14:44:09.600000,131,0.718117,3561,2.1415198277611656,2.035130921563068,0.7980010435891312,0.0
front_geometric,late,144400,2017-04-03T14:44:09.350000,171,2.000177,3561,103.48195104739771,100.94051779087314,21.449759188636545,0.0
front_geometric,late,144400,2017-04-03T14:44:07.390000,193,0.14804,3561,69.45390244432613,67.53398734357539,15.341645179243987,0.0
front_geometric,late,144400,2017-04-03T14:43:57.620000,211,2.901163,3561,13.17949532197394,12.619057309632309,2.9289887313895058,0.0
front_geometric,late,144400,2017-04-03T14:44:00.620000,335,2.900762,3561,0.4598620950453959,0.4398495425201865,0.15049632459539547,0.0
front_bright_subset,pre,140400,2017-04-03T14:03:59.120000,94,2.900843,1557,0.4344256277120422,0.43090922190549436,0.14012361983870386,0.0
front_bright_subset,pre,140400,2017-04-03T14:04:06.620000,131,2.90135,1557,2.119525668456133,2.02604433247559,0.6189260317695264,0.0
front_bright_subset,pre,140400,2017-04-03T14:04:09.350000,171,2.00018,1557,99.97742026913257,98.84864102919795,19.856109977592688,0.0
front_bright_subset,pre,140400,2017-04-03T14:04:07.030000,193,0.410796,1557,69.7903510690672,67.74845682540125,14.54354959451748,0.0
front_bright_subset,pre,140400,2017-04-03T14:03:57.630000,211,2.900767,1557,13.051762817342437,12.777684913635822,2.8160446118489944,0.0
front_bright_subset,pre,140400,2017-04-03T14:04:00.620000,335,2.900829,1557,0.44199946613701513,0.42766799205714223,0.1487545335330007,0.0
front_bright_subset,early,142000,2017-04-03T14:19:59.120000,94,2.900842,1557,0.44587266080591603,0.4362030629387562,0.13056084645590663,0.0
front_bright_subset,early,142000,2017-04-03T14:20:06.630000,131,2.901345,1557,2.1914883415101563,2.1380314445209305,0.5622479553376237,0.0
front_bright_subset,early,142000,2017-04-03T14:20:09.340000,171,2.000181,1557,103.06745606251532,101.86023200291488,20.407354497507473,0.0
front_bright_subset,early,142000,2017-04-03T14:20:06.640000,193,0.689326,1557,69.06735475527124,67.61698995747038,14.00906589968111,0.0
front_bright_subset,early,142000,2017-04-03T14:19:57.630000,211,2.900771,1557,13.123071725293778,12.947552503864017,2.82373656893159,0.0
front_bright_subset,early,142000,2017-04-03T14:20:00.630000,335,2.900824,1557,0.45998354550167625,0.4466376505643489,0.1273504137822616,0.0
front_bright_subset,late,144400,2017-04-03T14:43:59.120000,94,2.900843,1557,0.47503350165792285,0.4621844345196298,0.1428517679785662,0.0
front_bright_subset,late,144400,2017-04-03T14:44:09.600000,131,0.718117,1557,2.357627510921987,2.184663560098466,0.8053600010022146,0.0
front_bright_subset,late,144400,2017-04-03T14:44:09.350000,171,2.000177,1557,111.13008304689085,108.2470068419548,21.260512685334156,0.0
front_bright_subset,late,144400,2017-04-03T14:44:07.390000,193,0.14804,1557,73.05614560251858,69.87902263951719,14.427299255875907,0.0
front_bright_subset,late,144400,2017-04-03T14:43:57.620000,211,2.901163,1557,14.205221259204459,13.32337128123736,2.7486010270076746,0.0
front_bright_subset,late,144400,2017-04-03T14:44:00.620000,335,2.900762,1557,0.4892715954697657,0.4594540289588206,0.15092910778478677,0.0
front_control_inner,pre,140400,2017-04-03T14:03:59.120000,94,2.900843,2764,0.39969016436122295,0.39232160623381385,0.13020324228873922,0.0
front_control_inner,pre,140400,2017-04-03T14:04:06.620000,131,2.90135,2764,2.0476355275353475,1.9584998134890723,0.4890452679627451,0.0
front_control_inner,pre,140400,2017-04-03T14:04:09.350000,171,2.00018,2764,94.37476450448494,92.95373373970205,17.22117422049832,0.0
front_control_inner,pre,140400,2017-04-03T14:04:07.030000,193,0.410796,2764,64.92723446950644,63.35760996994396,11.121876704321293,0.0
front_control_inner,pre,140400,2017-04-03T14:03:57.630000,211,2.900767,2764,12.168895606826153,11.769466212101758,2.0690719542182774,0.0
front_control_inner,pre,140400,2017-04-03T14:04:00.620000,335,2.900829,2764,0.4150595007010997,0.4082776058382548,0.1312974688724441,0.0
front_control_inner,early,142000,2017-04-03T14:19:59.120000,94,2.900842,2764,0.4158034877399398,0.4063946645573503,0.1160051092061995,0.0
front_control_inner,early,142000,2017-04-03T14:20:06.630000,131,2.901345,2764,2.0554078957842674,1.9852209343006553,0.49386460663868126,0.0
front_control_inner,early,142000,2017-04-03T14:20:09.340000,171,2.000181,2764,93.93196094578259,93.29811888005514,17.32816328281474,0.0
front_control_inner,early,142000,2017-04-03T14:20:06.640000,193,0.689326,2764,64.20685836902702,62.81810649717805,9.792221817817145,0.0
front_control_inner,early,142000,2017-04-03T14:19:57.630000,211,2.900771,2764,12.2580012836822,11.915549985401753,2.1574514049423463,0.0
front_control_inner,early,142000,2017-04-03T14:20:00.630000,335,2.900824,2764,0.422803996701839,0.4097960022631777,0.11997052755885713,0.0
front_control_inner,late,144400,2017-04-03T14:43:59.120000,94,2.900843,2764,0.4277457752514105,0.4193635910183494,0.1256433662571222,0.0
front_control_inner,late,144400,2017-04-03T14:44:09.600000,131,0.718117,2764,1.984716920101172,1.9038784892591307,0.6926494669460581,0.0
front_control_inner,late,144400,2017-04-03T14:44:09.350000,171,2.000177,2764,94.44067398262635,93.52192144526349,19.393715577265887,0.0
