relative_path,source_url,sha256,size_bytes,date_obs,wavelength_angstrom,shape_y,shape_x,exptime_s,wcs_valid
2017-04-01/0171/aia_synoptic.0171.20170401_221600.fits,https://sdo.oma.be/data/aia_synoptic/0171/2017/04/01/aia_synoptic.0171.20170401_221600.fits,dc7bf562ae27deb43737199f19a0997e89262b90d90c1826ce5c2cfbfede2e8f,1192320,2017-04-01T22:16:09.350000Z,171,1024,1024,2.000169,true
2017-04-01/0171/aia_synoptic.0171.20170401_222000.fits,https://sdo.oma.be/data/aia_synoptic/0171/2017/04/01/aia_synoptic.0171.20170401_222000.fits,040aaccc65e566271952b0b3f23e2067cd4add5865c0acd44abed0ebc7da2391,1192320,2017-04-01T22:20:09.350000Z,171,1024,1024,2.000171,true
2017-04-01/0193/aia_synoptic.0193.20170401_212000.fits,https://sdo.oma.be/data/aia_synoptic/0193/2017/04/01/aia_synoptic.0193.20170401_212000.fits,d0f86335819c5fe8f1564c00366127ab65b9721bbd52eb89956f22554aa9ad50,1146240,2017-04-01T21:20:04.850000Z,193,1024,1024,1.999622,true
2017-04-01/0193/aia_synoptic.0193.20170401_212400.fits,https://sdo.oma.be/data/aia_synoptic/0193/2017/04/01/aia_synoptic.0193.20170401_212400.fits,cddf65e58d7fc635425f033853191332200f892e1d4af6211636a3f83e052744,1146240,2017-04-01T21:24:04.850000Z,193,1024,1024,1.999621,true
2017-04-01/0193/aia_synoptic.0193.20170401_212800.fits,https://sdo.oma.be/data/aia_synoptic/0193/2017/04/01/aia_synoptic.0193.20170401_212800.fits,feb407fdee0beb30cfa5a343c48dee6e911e3f9bcc94bad926ab8617bd576684,1146240,2017-04-01T21:28:04.850000Z,193,1024,1024,1.999623,true
2017-04-01/0193/aia_synoptic.0193.20170401_213000.fits,https://sdo.oma.be/data/aia_synoptic/0193/2017/04/01/aia_synoptic.0193.20170401_213000.fits,d598fcb8e1340c6acc902ba336e3fff9c606b6e3158ed7c47f73b7ff3ec56710,1146240,2017-04-01T21:30:04.850000Z,193,1024,1024,1.999623,true
2017-04-01/0193/aia_synoptic.0193.20170401_213200.fits,https://sdo.oma.be/data/aia_synoptic/0193/2017/04/01/aia_synoptic.0193.20170401_213200.fits,9de70d4bfdc2b759a30e32867a850874d74814bc898e11c767b750bed44e2370,1146240,2017-04-01T21:32:04.850000Z,193,1024,1024,1.999624,true
2017-04-01/0193/aia_synoptic.0193.20170401_213400.fits,https://sdo.oma.be/data/aia_synoptic/0193/2017/04/01/aia_synoptic.0193.20170401_213400.fits,535f8d5a8b20a70db7acc4db4175077811031f3d3eb9eacf76eaa3be341a8236,1146240,2017-04-01T21:34:04.850000Z,193,1024,1024,1.999623,true
2017-04-01/0193/aia_synoptic.0193.20170401_213600.fits,https://sdo.oma.be/data/aia_synoptic/0193/2017/04/01/aia_synoptic.0193.20170401_213600.fits,3f82d92e773748e2eac8cdc8cc40683c507c66d31f2239234b330b133a3a6988,1146240,2017-04-01T21:36:04.850000Z,193,1024,1024,1.999624,true
2017-04-01/0193/aia_synoptic.0193.20170401_213800.fits,https://sdo.oma.be/data/aia_synoptic/0193/2017/04/01/aia_synoptic.0193.20170401_213800.fits,d6458493c283fba6aa3a5b54175cdaadabbda8610230edae6fabe38da1a4d4a0,1146240,2017-04-01T21:38:04.850000Z,193,1024,1024,1.999623,true
